Version,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,241,154,60.25,249,233,154,58.25,3,4,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,673,393,61.18182,769,583,393,53.0,3,11,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,214,132,71.333336,221,207,132,69.0,3,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,568,533,71.0,591,547,533,68.375,3,8,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,713,603,79.22222,793,637,603,70.77778,3,9,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,148,148,148.0,148,148,148,148.0,1,1,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,185,174,61.666668,195,175,174,58.333332,2,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,159,148,53.0,169,149,148,49.666668,2,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,163,92,27.166666,905,771,675,128.5,3,6,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,463,234,77.166664,667,259,234,43.166668,3,6,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,59,54,19.666666,64,54,54,18.0,3,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,43,38,21.5,48,38,38,19.0,2,2,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,102,98,51.0,106,98,98,49.0,2,2,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,50,39,16.666666,60,40,39,13.333333,2,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,73,69,24.333334,102,94,69,31.333334,3,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,94,94,94.0,94,94,94,94.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,72,72.0,72,72,72,72.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,42,42.0,42,42,42,42.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,56,48,18.666666,64,48,48,16.0,2,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,67,63,33.5,71,63,63,31.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,257,237,128.5,277,237,237,118.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,139,133,46.333332,145,133,133,44.333332,2,3,0,False
