TrainingRelease,ClassifierName,FilterName,SamplerName,SensitiveLearning,Precision,Recall,ROC_AUC,Kappa,TruePositive,FalsePositive,TrueNegative,FalseNegative
1,NaiveBayes,true,Over,false,0.21428571428571427,0.38028169014084506,0.41214788732394364,-0.025314121037463992,27.0,99.0,141.0,44.0
1,IBk,true,Over,false,0.3333333333333333,0.07042253521126761,0.6206572769953052,0.03981150471238201,5.0,10.0,230.0,66.0
1,RandomForest,true,Under,false,0.39759036144578314,0.4647887323943662,0.6622946009389671,0.24205162290905066,33.0,50.0,190.0,38.0
1,NaiveBayes,true,Under,false,0.5,0.19718309859154928,0.5857100938967136,0.176481557453474,14.0,14.0,226.0,57.0
1,IBk,true,Under,false,0.3333333333333333,0.352112676056338,0.6474471830985915,0.14098285188168946,25.0,50.0,190.0,46.0
1,RandomForest,true,SMOTE,false,0.36363636363636365,0.056338028169014086,0.6408157276995305,0.03868003341687566,4.0,7.0,233.0,67.0
1,NaiveBayes,true,SMOTE,false,0.2857142857142857,0.28169014084507044,0.4557218309859155,0.07372239096458376,20.0,50.0,190.0,51.0
1,IBk,true,SMOTE,false,0.4375,0.09859154929577464,0.6504107981220657,0.08400242081904394,7.0,9.0,231.0,64.0
1,RandomForest,false,NotSet,true,0.25,0.04225352112676056,0.6496185446009389,0.006719482350989189,3.0,9.0,231.0,68.0
1,NaiveBayes,false,NotSet,true,0.21428571428571427,0.3380281690140845,0.43770539906103284,-0.02379965373454603,24.0,88.0,152.0,47.0
1,IBk,false,NotSet,true,0.3333333333333333,0.056338028169014086,0.571537558685446,0.032518976315898306,4.0,8.0,232.0,67.0
1,RandomForest,true,NotSet,true,0.3,0.04225352112676056,0.6468309859154929,0.01876235749442594,3.0,7.0,233.0,68.0
1,NaiveBayes,true,NotSet,true,0.1956521739130435,0.2535211267605634,0.4156983568075117,-0.04964256291689939,18.0,74.0,166.0,53.0
1,IBk,true,NotSet,true,0.4166666666666667,0.07042253521126761,0.6457159624413146,0.05831847028080787,5.0,7.0,233.0,66.0
2,RandomForest,false,NotSet,false,0.1724137931034483,0.10204081632653061,0.7286310628147363,0.029115341545353064,5.0,24.0,284.0,44.0
2,NaiveBayes,false,NotSet,false,1.0,0.02040816326530612,0.7860124569308243,0.03470031545741364,1.0,0.0,308.0,48.0
2,IBk,false,NotSet,false,0.24193548387096775,0.30612244897959184,0.6710177577524516,0.1381180888796161,15.0,47.0,261.0,34.0
2,RandomForest,true,NotSet,false,0.30434782608695654,0.2857142857142857,0.7472170686456401,0.18662223280171403,14.0,32.0,276.0,35.0
2,NaiveBayes,true,NotSet,false,1.0,0.02040816326530612,0.7853167240922343,0.03470031545741364,1.0,0.0,308.0,48.0
2,IBk,true,NotSet,false,0.16326530612244897,0.16326530612244897,0.636628677445004,0.030148423005566086,8.0,41.0,267.0,41.0
2,RandomForest,false,Over,false,0.1686746987951807,0.2857142857142857,0.6657831963954413,0.04775583482944353,14.0,69.0,239.0,35.0
