TrainingRelease,ClassifierName,FilterName,SamplerName,SensitiveLearning,Precision,Recall,ROC_AUC,Kappa,TruePositive,FalsePositive,TrueNegative,FalseNegative
1,NaiveBayes,false,NotSet,true,0.214285714285714,0.338028169014084,0.437705399061033,-0.023799653734546,24,88,152,47
1,IBk,false,NotSet,true,0.333333333333333,0.0563380281690141,0.571537558685446,0.0325189763158983,4,8,232,67
1,RandomForest,true,NotSet,true,0.3,0.0422535211267606,0.646830985915493,0.0187623574944259,3,7,233,68
1,NaiveBayes,true,NotSet,true,0.195652173913043,0.253521126760563,0.415698356807512,-0.0496425629168994,18,74,166,53
1,IBk,true,NotSet,true,0.416666666666667,0.0704225352112676,0.645715962441315,0.0583184702808079,5,7,233,66
2,RandomForest,false,NotSet,false,0.172413793103448,0.102040816326531,0.728631062814736,0.0291153415453531,5,24,284,44
2,NaiveBayes,false,NotSet,false,1,0.0204081632653061,0.786012456930824,0.0347003154574136,1,0,308,48
2,IBk,false,NotSet,false,0.241935483870968,0.306122448979592,0.671017757752452,0.138118088879616,15,47,261,34
2,RandomForest,true,NotSet,false,0.304347826086957,0.285714285714286,0.74721706864564,0.186622232801714,14,32,276,35
2,NaiveBayes,true,NotSet,false,1,0.0204081632653061,0.785316724092234,0.0347003154574136,1,0,308,48
2,IBk,true,NotSet,false,0.163265306122449,0.163265306122449,0.636628677445004,0.0301484230055661,8,41,267,41
2,RandomForest,false,Over,false,0.168674698795181,0.285714285714286,0.665783196395441,0.0477558348294435,14,69,239,35
2,NaiveBayes,false,Over,false,0.142857142857143,1,0.771633978266631,0.0129032258064516,49,294,14,0
2,IBk,false,Over,false,0.237623762376238,0.489795918367347,0.688179167771005,0.165811417575369,24,77,231,25
2,RandomForest,false,Under,false,0.23972602739726,0.714285714285714,0.673701298701299,0.193140108846981,35,111,197,14
2,NaiveBayes,false,Under,false,0.141618497109827,1,0.808540948847071,0.0100647016534867,49,297,11,0
2,IBk,false,Under,false,0.214285714285714,0.612244897959184,0.623641664457991,0.143247818726397,30,110,198,19
2,RandomForest,false,SMOTE,false,0.189655172413793,0.224489795918367,0.684766763848397,0.0667384284176534,11,47,261,38
2,NaiveBayes,false,SMOTE,false,0.141176470588235,0.979591836734694,0.714252584150543,0.00901916572717024,48,292,16,1
2,IBk,false,SMOTE,false,0.231884057971014,0.326530612244898,0.667307182613305,0.131828978622328,16,53,255,33
2,RandomForest,true,Over,false,0.21875,0.428571428571429,0.72111052213093,0.131879028259792,21,75,233,28
2,NaiveBayes,true,Over,false,0.26605504587156,0.591836734693878,0.783660217333687,0.219228413962033,29,80,228,20
2,IBk,true,Over,false,0.184782608695652,0.346938775510204,0.654121388815266,0.0755548026427239,17,75,233,32
2,RandomForest,true,Under,false,0.226027397260274,0.673469387755102,0.673270606944076,0.167320592330085,33,113,195,16
2,NaiveBayes,true,Under,false,0.5,0.224489795918367,0.808110257089849,0.245698762450951,11,11,297,38
2,IBk,true,Under,false,0.2,0.714285714285714,0.646004505698383,0.124804992199688,35,140,168,14
2,RandomForest,true,SMOTE,false,0.295774647887324,0.428571428571429,0.715909090909091,0.22395630120952,21,50,258,28
2,NaiveBayes,true,SMOTE,false,0.261682242990654,0.571428571428571,0.754207527166711,0.210281820997213,28,79,229,21
2,IBk,true,SMOTE,false,0.2,0.244897959183673,0.648157964484495,0.0813731722822628,12,48,260,37
2,RandomForest,false,NotSet,true,0.220338983050847,0.530612244897959,0.665584415584416,0.145666423889294,26,92,216,23
2,NaiveBayes,false,NotSet,true,0.298076923076923,0.63265306122449,0.786012456930824,0.26878840397038,31,73,235,18
2,IBk,false,NotSet,true,0.192307692307692,0.306122448979592,0.671017757752452,0.0813370473537603,15,63,245,34
2,RandomForest,true,NotSet,true,0.241071428571429,0.551020408163265,0.704909886032335,0.178533794972151,27,85,223,22
2,NaiveBayes,true,NotSet,true,0.138418079096045,1,0.785316724092234,0.00269282554337372,49,305,3,0
2,IBk,true,NotSet,true,0.123076923076923,0.163265306122449,0.636628677445004,-0.0191680261011418,8,57,251,41
3,RandomForest,false,NotSet,false,0.333333333333333,0.285714285714286,0.699791144527987,0.242802945771033,10,20,322,25
3,NaiveBayes,false,NotSet,false,0.466666666666667,0.2,0.866040100250627,0.237528089887641,7,8,334,28
3,IBk,false,NotSet,false,0.277777777777778,0.285714285714286,0.708020050125313,0.207035921969728,10,26,316,25
3,RandomForest,true,NotSet,false,0.3125,0.285714285714286,0.706432748538012,0.230244580563882,10,22,320,25
3,NaiveBayes,true,NotSet,false,0.466666666666667,0.2,0.862322472848789,0.237528089887641,7,8,334,28
3,IBk,true,NotSet,false,0.285714285714286,0.285714285714286,0.709314954051796,0.212614870509608,10,25,317,25
3,RandomForest,false,Over,false,0.25,0.514285714285714,0.678780284043442,0.241706563925324,18,54,288,17
3,NaiveBayes,false,Over,false,0.0953678474114441,1,0.86750208855472,0.00556155850759549,35,332,10,0
3,IBk,false,Over,false,0.162162162162162,0.342857142857143,0.682539682539683,0.107704730877398,12,62,280,23
3,RandomForest,false,Under,false,0.197916666666667,0.542857142857143,0.704594820384294,0.178264232310685,19,77,265,16
3,NaiveBayes,false,Under,false,0.0940860215053763,1,0.8578111946533,0.00274727431141532,35,337,5,0
3,IBk,false,Under,false,0.170940170940171,0.571428571428571,0.70530492898914,0.140285865537321,20,97,245,15
3,RandomForest,false,SMOTE,false,0.30952380952381,0.371428571428571,0.6890559732665,0.263022729886159,13,29,313,22
3,NaiveBayes,false,SMOTE,false,0.482758620689655,0.4,0.864118629908104,0.385826771653544,14,15,327,21
3,IBk,false,SMOTE,false,0.27906976744186,0.342857142857143,0.721595655806182,0.228746779815123,12,31,311,23
3,RandomForest,true,Over,false,0.232558139534884,0.571428571428571,0.685171261487051,0.2288052125161,20,66,276,15
3,NaiveBayes,true,Over,false,0.363636363636364,0.228571428571429,0.853550543024227,0.225174194195198,8,14,328,27
3,IBk,true,Over,false,0.164383561643836,0.342857142857143,0.68187134502924,0.110599337190361,12,61,281,23
3,RandomForest,true,Under,false,0.176991150442478,0.571428571428571,0.700041771094403,0.149730610199223,20,93,249,15
