ID,SIZE,PREDICTED,ACTUAL
0,76,0.2501064282673478,NO
1,72,2.8376844494892167E-4,NO
2,196,8.503401360544218E-4,NO
3,170,2.128565346956152E-4,NO
4,120,8.503401360544218E-4,NO
5,242,0.9991496598639457,NO
6,312,0.5,NO
7,158,0.9991496598639457,NO
8,53,0.12507983819459229,NO
9,605,0.9991496598639457,NO
10,888,0.9991496598639457,NO
11,59,8.503401360544218E-4,NO
12,61,2.8376844494892167E-4,NO
13,162,0.40003405994550406,NO
14,68,2.8376844494892167E-4,NO
15,146,0.5,NO
16,214,4.2553191489361707E-4,YES
17,433,8.503401360544218E-4,NO
18,72,2.8376844494892167E-4,NO
19,74,0.2501064282673478,NO
20,327,0.9991496598639457,NO
21,265,0.9991496598639457,NO
22,35,2.8376844494892167E-4,NO
23,554,0.9991496598639457,NO
24,297,0.9991496598639457,NO
25,45,4.2553191489361707E-4,NO
26,420,8.503401360544218E-4,NO
27,181,0.9991496598639457,NO
28,129,2.8376844494892167E-4,NO
29,61,2.8376844494892167E-4,NO
30,65,1.70299727520436E-4,NO
31,161,8.503401360544218E-4,NO
32,244,8.503401360544218E-4,NO
33,382,0.9991496598639457,NO
34,49,2.8376844494892167E-4,NO
35,41,1.2165450121654502E-4,NO
36,97,4.2553191489361707E-4,NO
37,1562,0.9991496598639457,YES
38,964,0.9991496598639457,YES
39,46,0.12507983819459229,NO
40,465,0.5,NO
41,408,0.9991496598639457,YES
42,221,8.503401360544218E-4,NO
43,460,8.503401360544218E-4,NO
44,198,8.503401360544218E-4,YES
45,346,8.503401360544218E-4,NO
46,332,8.503401360544218E-4,NO
47,53,8.503401360544218E-4,NO
48,147,8.503401360544218E-4,NO
49,47,1.70299727520436E-4,NO
50,260,0.9991496598639457,NO
51,82,8.503401360544218E-4,NO
52,131,2.8376844494892167E-4,NO
53,409,8.503401360544218E-4,YES
54,159,8.503401360544218E-4,NO
55,902,0.9991496598639457,NO
56,43,0.33336487509462526,NO
57,206,4.2553191489361707E-4,NO
58,58,4.2553191489361707E-4,NO
59,112,0.5,NO
60,167,2.128565346956152E-4,NO
61,36,0.37502661273153076,NO
62,84,2.128565346956152E-4,NO
63,36,0.37502661273153076,NO
64,201,0.5,NO
65,43,0.33336487509462526,NO
66,49,2.8376844494892167E-4,NO
67,73,8.503401360544218E-4,NO
