ID,SIZE,PREDICTED,ACTUAL
0,76,0.3062976190476191,NO
1,72,0.0,NO
2,196,0.11333333333333333,NO
3,170,0.0,NO
4,120,0.0,NO
5,242,0.6976666666666667,NO
6,312,0.8,NO
7,151,1.0,YES
8,53,0.19279809079809085,NO
9,626,0.19,NO
10,884,0.87,NO
11,51,0.003333333333333333,NO
12,61,0.0,NO
13,162,0.31119047619047624,NO
14,68,0.10163095238095239,NO
15,86,0.11217460317460318,NO
16,146,0.7368134920634921,NO
17,214,0.165,YES
18,386,0.92,NO
19,72,0.0,NO
20,74,0.6816666666666665,NO
21,327,0.38,NO
22,265,0.64,NO
23,35,0.22975829725829722,NO
24,552,0.58,NO
25,297,0.8107380952380953,NO
26,45,0.0,NO
27,129,0.01,NO
28,61,0.0,NO
29,65,0.0,NO
30,161,0.31119047619047624,NO
31,244,0.29,NO
32,382,0.94,NO
33,49,0.0,NO
34,41,0.0,NO
35,97,0.04085714285714285,NO
36,1765,0.99,YES
37,961,0.83,YES
38,46,0.29082142857142845,NO
39,465,0.06,NO
40,404,0.96,YES
41,221,0.13,NO
42,460,0.03,NO
43,213,0.12278571428571429,YES
44,47,0.006666666666666666,NO
45,259,0.96,NO
46,82,0.015,NO
47,131,0.0,NO
48,416,0.97,YES
49,159,0.12185714285714287,NO
50,898,0.74,NO
51,43,0.6350674603174604,NO
52,206,0.2733333333333334,NO
53,58,0.0,NO
54,112,0.030833333333333334,NO
55,167,0.6733333333333335,NO
56,36,0.38284559884559893,NO
57,84,0.0,NO
58,36,0.38284559884559893,NO
59,201,0.75,NO
60,43,0.6350674603174604,NO
61,49,0.0,NO
62,73,0.0,NO
63,75,0.02616666666666667,NO
64,174,0.9308333333333333,NO
65,194,0.439952380952381,NO
66,131,0.0,NO
67,95,0.9325,NO
68,160,0.7,NO
69,193,0.7596190476190476,NO
70,109,0.0,NO
71,70,0.029376373626373624,NO
72,220,0.26,NO
73,63,0.01,NO
74,46,0.29082142857142845,NO
75,54,0.16864754689754688,NO
76,70,0.029376373626373624,NO
77,44,0.0,NO
78,51,0.003333333333333333,NO
79,207,0.05333333333333333,NO
80,78,0.19083333333333335,NO
81,59,0.0,NO
82,56,0.5521012459762459,NO
83,44,0.0,NO
84,224,0.95,NO
85,119,0.56,NO
86,113,0.49717460317460316,NO
87,192,0.6585,NO
88,83,0.0,NO
89,213,0.99,NO
90,175,0.11,NO
91,47,0.006666666666666666,NO
92,228,0.8,NO
93,47,0.006666666666666666,NO
94,93,0.012833333333333334,NO
95,47,0.006666666666666666,NO
96,57,0.0125,NO
97,155,0.15,NO
98,167,0.11,NO
99,65,0.0,NO
100,65,0.0,NO
101,45,0.0,NO
102,500,0.5243333333333335,NO
103,47,0.006666666666666666,NO
104,32,0.0,NO
105,56,0.5521012459762459,NO
106,61,0.0,NO
107,104,0.5044999999999998,NO
108,155,0.02333333333333333,NO
109,161,0.7,NO
110,43,0.6350674603174604,NO
111,43,0.6350674603174604,NO
112,95,0.5264999999999999,NO
113,79,0.4668333333333332,NO
114,81,0.005,NO
115,51,0.003333333333333333,NO
116,158,0.24,NO
117,103,0.13683333333333333,NO
118,929,0.78,YES
119,153,0.3025,NO
120,36,0.38284559884559893,NO
121,71,0.1342514152514152,NO
122,41,0.0,NO
123,39,0.0,NO
124,345,1.0,NO
125,227,0.91,NO
126,57,0.01,NO
127,47,0.006666666666666666,NO
128,282,0.0,NO
129,118,0.0,NO
130,68,0.0,NO
131,207,0.77,NO
132,152,0.68,NO
133,54,0.16864754689754688,NO
134,57,0.01,YES
135,57,0.01,YES
136,214,0.99,NO
137,84,0.01,NO
138,127,0.71,NO
139,157,0.19,NO
140,183,0.11,NO
141,177,0.69,NO
142,93,0.5723333333333334,NO
143,89,0.0,NO
144,1105,1.0,YES
145,494,0.9683333333333333,NO
146,115,0.4655079365079366,NO
147,128,0.01,NO
148,436,0.01,NO
149,170,0.0,NO
150,78,0.19083333333333335,NO
151,85,0.0,NO
152,1157,0.91,NO
153,425,0.83,YES
154,257,0.28,NO
155,87,0.26998015873015874,NO
156,46,0.29082142857142845,NO
157,72,0.0,NO
158,67,0.32433333333333325,NO
159,164,0.265,NO
160,91,0.3331428571428571,NO
161,307,0.8778333333333334,NO
162,775,0.3,NO
163,1856,0.99,NO
164,1357,1.0,YES
165,71,0.1342514152514152,NO
166,1143,1.0,NO
167,142,0.0,NO
168,167,0.11,NO
169,63,0.01,NO
170,230,0.0,NO
171,629,0.97,NO
172,138,0.0,NO
173,37,0.03408080808080808,NO
174,163,0.014333333333333332,NO
175,2217,0.71,NO
176,96,0.3324285714285715,NO
177,173,0.035,NO
178,136,0.3707619047619048,NO
179,69,0.79,NO
180,104,0.5044999999999998,NO
181,269,0.0,NO
182,544,0.02,NO
183,334,0.99,YES
184,379,1.0,YES
185,168,0.8733333333333333,NO
186,87,0.26998015873015874,YES
187,82,0.015,NO
188,96,0.3324285714285715,NO
189,184,0.12,NO
190,81,0.005,NO
191,61,0.0,NO
192,77,0.0525,NO
193,51,0.003333333333333333,NO
194,62,0.01,NO
195,83,0.0,NO
196,66,0.05716666666666668,NO
197,127,0.0,NO
198,51,0.003333333333333333,NO
199,344,0.98,NO
200,138,0.1,NO
201,183,0.6313333333333334,NO
202,1625,0.55,NO
203,239,0.27399999999999997,NO
204,95,0.5264999999999999,NO
205,103,0.13683333333333333,NO
206,68,0.0,NO
207,137,0.010833333333333332,NO
208,250,0.44766666666666666,NO
209,418,0.96,NO
210,251,0.8878333333333334,NO
211,360,0.39,YES
212,275,0.69,NO
213,87,0.26998015873015874,NO
214,98,0.04085714285714285,NO
215,163,0.014333333333333332,NO
216,99,0.034190476190476195,NO
217,152,0.996,NO
218,231,0.0,NO
219,422,0.59,NO
220,219,0.22,NO
221,308,0.8175,YES
222,107,0.0,YES
223,96,0.3324285714285715,YES
224,113,0.49717460317460316,NO
225,83,0.0,YES
226,262,0.2375,NO
227,110,0.02,NO
228,41,0.0,NO
229,89,0.019,NO
230,58,0.0,NO
231,54,0.16864754689754688,NO
232,55,0.14206848706848707,NO
233,76,0.184,YES
234,49,0.0,NO
235,84,0.0,NO
236,405,0.37,NO
237,87,0.26998015873015874,NO
238,97,0.04085714285714285,NO
239,115,0.4655079365079366,NO
240,1055,1.0,YES
241,290,0.06,NO
242,170,0.0,NO
243,170,0.0,NO
244,403,0.89,YES
245,218,0.67,NO
246,349,0.955,YES
247,270,0.07166666666666666,YES
248,330,0.33,NO
249,603,0.96,NO
250,259,0.5418333333333333,NO
251,169,0.0,NO
252,77,0.0525,NO
253,57,0.01,NO
254,60,0.6893015873015873,NO
255,124,0.27,NO
256,133,0.0,NO
257,154,0.6123333333333334,NO
258,97,0.71,NO
259,829,0.67,YES
260,308,0.5331428571428571,NO
261,188,0.12055952380952384,NO
262,313,0.69,NO
263,110,0.1643333333333333,NO
264,151,1.0,YES
265,106,0.29,NO
266,741,0.64,NO
267,85,0.0,NO
268,194,0.14333333333333334,NO
269,187,0.3279166666666667,NO
270,80,0.16316666666666668,NO
271,85,0.0,NO
272,45,0.0,NO
273,263,0.6,YES
274,42,0.4205952380952381,NO
275,947,0.86,NO
276,468,0.23,NO
277,65,0.0,NO
278,81,0.005,NO
279,1527,0.28,NO
280,235,0.0,NO
281,227,0.91,NO
