ID,SIZE,PREDICTED,ACTUAL
0,76,2.2607044355021028E-5,NO
1,72,1.9377591752896952E-5,NO
2,196,1.3561160835367508E-4,NO
3,170,3.39097999321804E-5,NO
4,120,2.712820791058543E-5,NO
5,65,7.139287499107589E-6,NO
6,103,2.712820791058543E-5,NO
7,96,1.695547492285259E-5,NO
8,221,1.3561160835367508E-4,YES
9,312,0.9998643883916464,NO
10,151,0.9998643883916464,NO
11,53,1.0434274504893675E-5,NO
12,605,6.781500067815001E-5,NO
13,852,1.3561160835367508E-4,YES
14,51,1.2331368535280046E-5,NO
15,61,1.695547492285259E-5,NO
16,162,2.2607044355021028E-5,NO
17,68,1.2331368535280046E-5,NO
18,138,1.9377591752896952E-5,NO
19,219,0.9998643883916464,YES
20,369,1.3561160835367508E-4,NO
21,262,1.3561160835367508E-4,NO
22,35,1.2331368535280046E-5,NO
23,546,1.3561160835367508E-4,NO
24,263,6.781500067815001E-5,NO
25,45,8.477881207928515E-6,NO
26,129,3.39097999321804E-5,NO
27,61,1.695547492285259E-5,NO
28,172,4.5212044488651776E-5,NO
29,210,6.781500067815001E-5,NO
30,348,1.3561160835367508E-4,NO
31,49,1.3564471935107566E-5,NO
32,41,6.4593641401940395E-6,NO
33,97,3.39097999321804E-5,NO
34,1387,0.9998643883916464,NO
35,653,1.3561160835367508E-4,NO
36,46,0.07693190592458106,NO
37,458,1.3561160835367508E-4,NO
38,371,1.3561160835367508E-4,YES
39,221,1.3561160835367508E-4,NO
40,460,6.781500067815001E-5,NO
41,171,6.781500067815001E-5,NO
42,47,1.3564471935107566E-5,NO
43,131,1.3561160835367508E-4,NO
44,80,1.5071590052750567E-5,NO
45,131,2.712820791058543E-5,NO
46,323,1.3561160835367508E-4,YES
47,159,2.2607044355021028E-5,NO
48,701,0.9998643883916464,YES
49,43,0.04762489180565065,NO
50,203,6.781500067815001E-5,NO
51,54,1.1303777722514864E-5,NO
52,84,1.9377591752896952E-5,NO
53,166,1.3561160835367508E-4,NO
54,36,0.10001085157754809,NO
55,84,1.9377591752896952E-5,NO
56,36,0.10001085157754809,NO
57,197,6.781500067815001E-5,NO
58,43,0.04762489180565065,NO
59,49,1.3564471935107566E-5,NO
60,73,1.5071590052750567E-5,NO
61,75,1.9377591752896952E-5,NO
62,131,2.712820791058543E-5,NO
63,94,1.5071590052750567E-5,NO
64,148,3.39097999321804E-5,NO
65,193,6.781500067815001E-5,NO
66,109,4.5212044488651776E-5,NO
67,70,1.5071590052750567E-5,NO
68,220,1.3561160835367508E-4,NO
69,63,1.695547492285259E-5,NO
70,46,0.07693190592458106,NO
71,54,1.1303777722514864E-5,NO
72,70,1.5071590052750567E-5,NO
73,43,0.04762489180565065,NO
74,51,1.2331368535280046E-5,NO
75,207,6.781500067815001E-5,NO
76,78,2.2607044355021028E-5,NO
77,59,1.5071590052750567E-5,NO
78,56,0.10001085157754809,NO
79,44,2.712820791058543E-5,NO
80,224,4.5212044488651776E-5,NO
81,119,6.781500067815001E-5,NO
82,113,2.712820791058543E-5,NO
83,83,2.712820791058543E-5,NO
84,210,6.781500067815001E-5,NO
85,175,6.781500067815001E-5,NO
86,47,1.3564471935107566E-5,NO
87,224,4.5212044488651776E-5,NO
88,47,1.3564471935107566E-5,NO
89,93,1.695547492285259E-5,NO
90,47,1.3564471935107566E-5,NO
91,144,6.781500067815001E-5,NO
92,167,2.2607044355021028E-5,NO
93,65,7.139287499107589E-6,NO
94,65,7.139287499107589E-6,NO
95,45,8.477881207928515E-6,NO
96,401,0.9998643883916464,NO
97,47,1.3564471935107566E-5,NO
98,32,1.695547492285259E-5,NO
99,56,0.10001085157754809,NO
100,61,1.695547492285259E-5,NO
101,104,6.781500067815001E-5,NO
102,155,1.3561160835367508E-4,NO
103,145,3.39097999321804E-5,NO
104,43,0.04762489180565065,NO
105,43,0.04762489180565065,NO
106,95,1.9377591752896952E-5,NO
107,79,0.12501271660619215,NO
108,81,2.2607044355021028E-5,NO
109,51,1.2331368535280046E-5,NO
110,103,2.712820791058543E-5,NO
111,826,0.9998643883916464,YES
112,131,2.712820791058543E-5,NO
113,36,0.10001085157754809,NO
114,71,0.10001085157754809,NO
115,41,6.4593641401940395E-6,NO
116,39,1.1303777722514864E-5,NO
117,345,1.3561160835367508E-4,YES
118,57,1.9377591752896952E-5,NO
119,43,0.04762489180565065,NO
120,282,1.3561160835367508E-4,NO
121,118,6.781500067815001E-5,NO
122,64,1.3564471935107566E-5,NO
123,207,6.781500067815001E-5,NO
124,140,3.39097999321804E-5,NO
125,54,1.1303777722514864E-5,NO
126,53,1.0434274504893675E-5,NO
