ID,SIZE,PREDICTED,ACTUAL
0,76,2.882027102582873E-6,NO
1,72,1.0024479779621837E-6,NO
2,196,5.764020981036371E-6,NO
3,170,1.1528148279654432E-6,NO
4,120,1.7078719232687304E-6,NO
5,242,1.1527909067853272E-5,NO
6,312,0.14286184817264366,NO
7,158,2.305528657721215E-5,NO
8,53,0.012500561997876511,NO
9,605,5.123580768127229E-6,NO
10,889,0.33333845680909924,NO
11,59,5.988655091794105E-7,NO
12,61,6.587519811965835E-7,NO
13,162,0.290323204436326,NO
14,68,7.559447495101478E-7,NO
15,146,7.68533177577276E-6,NO
16,215,4.610844706750276E-5,YES
17,437,4.610844706750276E-5,NO
18,72,4.192028438720928E-6,NO
19,74,0.017857936888287226,NO
20,327,4.610844706750276E-5,NO
21,265,9.222369780138703E-6,NO
22,35,8.539374200501091E-7,NO
23,555,4.610844706750276E-5,NO
24,297,5.123580768127229E-6,NO
25,45,3.4671178542701025E-7,NO
26,420,2.305528657721215E-5,NO
27,181,2.305528657721215E-5,NO
28,129,1.773559071932009E-6,NO
29,61,6.587519811965835E-7,NO
30,65,4.00979673538389E-7,NO
31,165,2.305528657721215E-5,NO
32,244,6.587441701140945E-6,NO
33,425,2.305528657721215E-5,NO
34,49,6.682990985981759E-7,NO
35,41,2.57612713290446E-7,NO
36,97,1.6468766983415953E-6,NO
37,1603,0.9999538915529324,YES
38,964,4.610844706750276E-5,YES
39,46,0.009615819479583176,NO
40,465,1.1527909067853272E-5,NO
41,98,0.2500057639545339,NO
42,406,2.305528657721215E-5,YES
43,221,6.587441701140945E-6,NO
44,460,3.2937425479074855E-6,NO
45,198,0.26666738397311945,YES
46,346,4.610844706750276E-5,NO
47,354,4.610844706750276E-5,YES
48,53,0.055557832714230815,NO
49,148,4.6112274165137275E-6,NO
50,47,5.240073989844737E-7,NO
51,286,0.9999538915529324,NO
52,82,8.384113111746813E-7,NO
53,131,2.004891936324632E-6,NO
54,410,2.305528657721215E-5,YES
55,159,2.1958331869444546E-6,NO
56,918,0.9999538915529324,NO
57,43,0.16788343525242816,NO
58,206,5.764020981036371E-6,NO
59,58,8.384113111746813E-7,NO
60,117,6.587441701140945E-6,NO
61,167,1.6468766983415953E-6,NO
62,36,0.2682929435277525,NO
63,84,9.606793924663522E-7,NO
64,36,0.2682929435277525,NO
65,201,0.050002075061906015,NO
66,43,0.16788343525242816,NO
67,49,6.682990985981759E-7,NO
68,73,7.950452778285723E-7,NO
69,75,7.319465386248189E-7,NO
70,193,5.764020981036371E-6,NO
71,192,7.68533177577276E-6,NO
72,131,2.004891936324632E-6,NO
73,95,0.17021341307871324,NO
74,160,2.1958331869444546E-6,NO
75,193,3.842695420275598E-6,NO
76,109,2.5618035096708083E-6,NO
77,70,6.587519811965835E-7,NO
78,220,6.587441701140945E-6,NO
79,63,0.3333339737850311,NO
80,46,0.009615819479583176,NO
81,54,0.012500561997876511,NO
82,70,6.587519811965835E-7,YES
83,44,1.487502008127711E-6,NO
84,51,5.425017577056949E-7,NO
85,207,3.074161061446331E-6,NO
86,78,5.764020981036371E-6,NO
87,59,5.988655091794105E-7,NO
88,56,0.544117617141435,NO
89,44,1.487502008127711E-6,NO
90,224,3.2937425479074855E-6,NO
91,119,0.09091252075054077,NO
92,113,1.8445011731027462E-6,NO
93,211,2.305528657721215E-5,NO
94,83,1.0024479779621837E-6,NO
95,213,4.192028438720928E-6,NO
96,175,2.882027102582873E-6,NO
97,47,5.240073989844737E-7,NO
98,230,2.305624340015033E-6,NO
99,47,5.240073989844737E-7,NO
100,93,9.606793924663522E-7,NO
101,47,5.240073989844737E-7,NO
102,57,7.559447495101478E-7,NO
103,155,2.0960230059485133E-6,NO
104,167,1.6468766983415953E-6,NO
105,65,4.00979673538389E-7,NO
106,65,4.00979673538389E-7,NO
107,45,3.4671178542701025E-7,NO
108,503,0.9999538915529324,YES
109,47,5.240073989844737E-7,NO
110,32,7.950452778285723E-7,NO
111,56,0.544117617141435,NO
112,61,6.587519811965835E-7,NO
113,128,0.14286184817264366,NO
114,166,2.305528657721215E-5,NO
115,134,2.305528657721215E-5,NO
116,155,2.0960230059485133E-6,NO
117,161,2.882027102582873E-6,NO
118,43,0.16788343525242816,NO
119,43,0.16788343525242816,NO
120,95,0.17021341307871324,NO
121,79,0.020409065927861052,NO
122,81,1.0979190043192135E-6,NO
123,51,5.425017577056949E-7,NO
124,178,4.610844706750276E-5,NO
125,103,1.1246974563842327E-6,NO
126,999,0.9999538915529324,YES
127,156,9.222369780138703E-6,NO
128,36,0.2682929435277525,NO
129,71,0.014085138221013333,NO
130,41,2.57612713290446E-7,NO
131,39,2.975011096791391E-7,NO
132,345,0.12500432301573577,YES
133,245,0.20000553342186805,NO
134,57,7.559447495101478E-7,NO
135,47,5.240073989844737E-7,NO
136,282,4.6112274165137275E-6,NO
137,118,2.882027102582873E-6,NO
138,68,7.559447495101478E-7,NO
139,224,2.305528657721215E-5,NO
140,152,0.7499996157280954,NO
141,54,0.012500561997876511,NO
142,57,7.559447495101478E-7,YES
143,57,7.559447495101478E-7,YES
144,214,4.192028438720928E-6,NO
145,97,6.587441701140945E-6,NO
146,127,5.764020981036371E-6,NO
147,157,7.68533177577276E-6,NO
148,183,6.587441701140945E-6,NO
149,184,1.1527909067853272E-5,NO
150,93,9.606793924663522E-7,NO
151,89,8.700494188069882E-7,NO
152,1102,4.610844706750276E-5,YES
153,495,1.1527909067853272E-5,NO
154,115,0.24444496819254982,NO
155,128,2.7124970162532824E-6,NO
156,436,6.587441701140945E-6,NO
157,170,1.1528148279654432E-6,NO
158,78,1.2809050362624215E-6,NO
159,85,9.410737274801058E-7,NO
160,1246,0.9999538915529324,NO
161,426,2.305528657721215E-5,YES
162,257,3.074161061446331E-6,NO
163,87,0.017544640256806868,NO
164,46,0.009615819479583176,NO
165,74,0.05882592279148493,NO
166,67,0.01666740959234899,NO
167,164,5.123580768127229E-6,NO
168,91,8.700494188069882E-7,NO
169,307,0.1111150961183752,NO
170,788,4.610844706750276E-5,NO
171,1861,4.610844706750276E-5,NO
172,1360,0.9999538915529324,YES
173,71,0.014085138221013333,NO
174,1143,1.1527909067853272E-5,NO
175,142,5.123580768127229E-6,NO
176,167,1.6468766983415953E-6,NO
177,63,8.384113111746813E-7,NO
178,230,2.305624340015033E-6,NO
179,629,4.610844706750276E-5,NO
180,138,1.317502226578763E-6,NO
181,37,9.410737274801058E-7,NO
182,163,2.305624340015033E-6,NO
183,2218,1.537042729787888E-5,NO
184,96,0.026316939094979792,NO
185,189,1.537042729787888E-5,NO
186,136,0.04000169694107925,NO
187,69,0.12280762783713993,NO
188,104,0.05882592279148493,NO
189,269,5.123580768127229E-6,NO
190,553,4.610844706750276E-5,NO
191,334,4.610844706750276E-5,YES
192,379,0.16667179022118384,YES
193,169,1.537042729787888E-5,NO
194,87,0.017544640256806868,YES
195,82,8.384113111746813E-7,NO
196,96,0.026316939094979792,NO
197,184,0.1111150961183752,NO
198,81,1.0979190043192135E-6,NO
199,61,6.587519811965835E-7,NO
200,77,1.5900880272731898E-6,NO
201,51,5.425017577056949E-7,NO
202,62,5.837043747475479E-7,NO
203,83,1.0024479779621837E-6,NO
204,66,8.539374200501091E-7,NO
205,130,2.882027102582873E-6,NO
206,51,5.425017577056949E-7,NO
207,347,2.305528657721215E-5,NO
208,138,1.317502226578763E-6,NO
209,179,4.610844706750276E-5,NO
210,1651,4.610844706750276E-5,NO
211,287,2.305528657721215E-5,YES
212,99,6.587441701140945E-6,NO
213,103,1.1246974563842327E-6,NO
214,68,7.559447495101478E-7,NO
215,137,3.2937425479074855E-6,NO
216,281,0.9999538915529324,NO
217,418,0.4999999999999999,NO
218,247,1.537042729787888E-5,NO
219,360,1.1527909067853272E-5,YES
220,275,6.587441701140945E-6,NO
221,87,0.017544640256806868,NO
222,98,5.764020981036371E-6,NO
223,163,2.305624340015033E-6,NO
224,99,3.547105561861521E-6,NO
225,152,0.7499996157280954,NO
226,231,5.764020981036371E-6,NO
227,422,5.764020981036371E-6,NO
228,219,2.305528657721215E-5,NO
229,311,2.305528657721215E-5,YES
230,107,1.3562521869566515E-6,YES
231,96,0.026316939094979792,YES
232,113,1.8445011731027462E-6,NO
233,83,1.0024479779621837E-6,YES
234,266,0.33333845680909924,NO
235,110,2.882027102582873E-6,NO
236,41,1.6468766983415953E-6,NO
237,89,8.700494188069882E-7,NO
238,58,8.384113111746813E-7,NO
239,54,0.012500561997876511,NO
240,55,1.0480136996350816E-6,NO
241,76,0.028572670787813628,YES
242,49,6.682990985981759E-7,NO
243,84,9.606793924663522E-7,NO
244,405,0.4999999999999999,NO
245,87,0.017544640256806868,NO
246,97,1.6468766983415953E-6,NO
247,115,0.24444496819254982,NO
248,1035,0.9999538915529324,YES
249,290,2.305528657721215E-5,NO
250,201,9.222369780138703E-6,NO
251,200,1.1527909067853272E-5,NO
252,406,1.1527909067853272E-5,YES
253,218,0.1111150961183752,NO
254,353,1.537042729787888E-5,YES
255,273,4.610844706750276E-5,YES
256,330,5.764020981036371E-6,NO
257,602,4.610844706750276E-5,NO
258,259,0.05882592279148493,NO
259,169,4.6112274165137275E-6,NO
260,77,1.5900880272731898E-6,NO
261,57,7.559447495101478E-7,NO
262,60,0.01724214694026825,NO
263,124,4.6112274165137275E-6,NO
264,133,2.882027102582873E-6,NO
265,154,0.411765184558297,NO
266,97,1.6468766983415953E-6,NO
267,786,4.610844706750276E-5,YES
268,308,0.1000036889819332,NO
269,188,4.192028438720928E-6,NO
270,337,4.610844706750276E-5,NO
271,110,7.685438093027617E-7,NO
272,166,2.305528657721215E-5,NO
273,106,3.074161061446331E-6,NO
274,741,6.587441701140945E-6,NO
