VersionNumber,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java,177.0,177.0,177.0,88.5,177.0,177.0,177.0,88.5,1,2,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java,44.0,44.0,44.0,22.0,44.0,44.0,44.0,22.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java,127.0,138.0,127.0,34.5,151.0,129.0,127.0,32.25,1,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ProjectionResultObjectProvider.java,70.0,75.0,70.0,25.0,80.0,70.0,70.0,23.333334,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLProjectionResultObjectProvider.java,128.0,128.0,128.0,42.666668,129.0,129.0,128.0,43.0,1,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java,257.0,260.0,257.0,65.0,269.0,263.0,257.0,65.75,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java,156.0,158.0,156.0,52.666668,170.0,166.0,156.0,55.333332,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,625.0,628.0,625.0,157.0,631.0,625.0,625.0,156.25,1,4,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/UpdateManager.java,40.0,40.0,40.0,20.0,40.0,40.0,40.0,20.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ValueTableJDBCSeq.java,200.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Abs.java,45.0,47.0,45.0,15.666667,57.0,53.0,45.0,17.666666,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java,74.0,99.0,74.0,19.8,110.0,88.0,74.0,17.6,2,5,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Aggregate.java,193.0,225.0,193.0,37.5,256.0,194.0,193.0,32.333332,2,6,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/All.java,33.0,33.0,33.0,16.5,33.0,33.0,33.0,16.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AndExpression.java,91.0,104.0,91.0,26.0,117.0,91.0,91.0,22.75,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java,33.0,33.0,33.0,16.5,33.0,33.0,33.0,16.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java,180.0,205.0,180.0,51.25,228.0,182.0,180.0,45.5,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Avg.java,40.0,41.0,40.0,13.666667,42.0,40.0,40.0,13.333333,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableAndExpression.java,79.0,90.0,79.0,22.5,101.0,79.0,79.0,19.75,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableExpression.java,80.0,88.0,80.0,22.0,97.0,81.0,80.0,20.25,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareEqualExpression.java,134.0,151.0,134.0,37.75,168.0,134.0,134.0,33.5,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareExpression.java,101.0,116.0,101.0,29.0,131.0,101.0,101.0,25.25,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Concat.java,173.0,206.0,173.0,41.2,236.0,176.0,173.0,35.2,2,5,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Const.java,204.0,235.0,204.0,47.0,273.0,211.0,204.0,42.2,2,5,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstGetObjectId.java,83.0,88.0,83.0,29.333334,93.0,83.0,83.0,27.666666,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstInstanceofExpression.java,76.0,86.0,76.0,21.5,97.0,77.0,76.0,19.25,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java,185.0,197.0,185.0,49.25,202.0,192.0,185.0,48.0,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsExpression.java,62.0,62.0,62.0,20.666666,66.0,66.0,62.0,22.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsKeyExpression.java,46.0,46.0,46.0,23.0,46.0,46.0,46.0,23.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Count.java,54.0,55.0,54.0,13.75,57.0,55.0,54.0,13.75,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CurrentDate.java,70.0,73.0,70.0,24.333334,76.0,70.0,70.0,23.333334,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Distinct.java,44.0,44.0,44.0,14.666667,48.0,48.0,44.0,16.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EmptyExpression.java,55.0,62.0,55.0,15.5,71.0,57.0,55.0,14.25,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EndsWithExpression.java,202.0,224.0,202.0,56.0,246.0,202.0,202.0,50.5,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EqualExpression.java,75.0,83.0,75.0,27.666666,91.0,75.0,75.0,25.0,2,3,0,False
