Filename,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
bookkeeper_NaiveBayesfalseOverfalse4.csv,0,0.6363636363636364,0.12962962962962962,0.2153846153846154,0.551830131823496,0.9275858491544764,0.22921014795232134,0.2478840512085472,0.18518518518518517,0.3333333333333333,0.48148148148148145,0.5185185185185185,0.5925925925925926,0.7222222222222222,0.7592592592592593,0.7777777777777778,0.8518518518518519,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.784993471624554,0.18518518518518517,0.3333333333333333,0.48148148148148145,0.5185185185185185,0.5925925925925926,0.7222222222222222,0.7592592592592593,0.7777777777777778,0.8518518518518519,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8014040604656295,0.2499999999999999,0.3749999999999999,0.49056603773584906,0.5185185185185185,0.5925925925925926,0.7222222222222222,0.7592592592592593,0.7777777777777778,0.8518518518518519,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.7953216374269005,
bookkeeper_RandomForestfalseSMOTEfalse0.csv,18,0,0.0,0.0,0.03564277132559071,1.0,0.0,0,0.125,0.2727272727272727,0.3522727272727273,0.42045454545454547,0.48863636363636365,0.5454545454545454,0.625,0.6931818181818182,0.75,0.7727272727272727,0.8295454545454546,0.875,0.8977272727272727,0.9318181818181818,0.9659090909090909,0.9886363636363636,1.0,1.0,1.0,0.20357103493494957,0.125,0.2727272727272727,0.3522727272727273,0.42045454545454547,0.48863636363636365,0.5454545454545454,0.625,0.6931818181818182,0.75,0.7727272727272727,0.8295454545454546,0.875,0.8977272727272727,0.9318181818181818,0.9659090909090909,0.9886363636363636,1.0,1.0,1.0,0.20357103493494957,0.2558139534883721,0.4444444444444444,0.5081967213114754,0.5522388059701493,0.6000000000000001,0.4130434782608694,0.3142857142857143,0.2500000000000002,0.20833333333333315,0.04999999999999993,0.11764705882352988,0.15384615384615374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7123205741626794,
bookkeeper_RandomForestfalseNotSettrue3.csv,9,0.18095238095238095,0.5428571428571428,0.2714285714285714,0.15288440630868827,0.7167919799498749,0.62931815241299,0.18864717217616672,0.17142857142857143,0.3142857142857143,0.4,0.42857142857142855,0.5142857142857142,0.5428571428571428,0.6285714285714286,0.6571428571428571,0.6857142857142857,0.7428571428571429,0.7428571428571429,0.8285714285714286,0.8571428571428571,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9714285714285714,1.0,0.5850877192982457,0.17142857142857143,0.3142857142857143,0.4,0.42857142857142855,0.5142857142857142,0.5428571428571428,0.6285714285714286,0.6571428571428571,0.6857142857142857,0.7428571428571429,0.7428571428571429,0.8285714285714286,0.8571428571428571,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9714285714285714,1.0,0.6728070175438596,0.19999999999999996,0.3142857142857143,0.4,0.4285714285714286,0.5142857142857142,0.5428571428571428,0.6285714285714286,0.6571428571428571,0.6857142857142857,0.7428571428571429,0.7428571428571429,0.8285714285714286,0.8571428571428571,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.75,0.8333333333333333,1,0.6857142857142857,
bookkeeper_NaiveBayesfalseSMOTEfalse4.csv,0,0.6470588235294118,0.4074074074074074,0.5,0.4297766659095759,0.842255420686793,0.5731762573629362,0.45840900062824236,0.2962962962962963,0.35185185185185186,0.3888888888888889,0.48148148148148145,0.5740740740740741,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.8333333333333334,0.8888888888888888,0.9074074074074074,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8044682592224797,0.2962962962962963,0.35185185185185186,0.3888888888888889,0.48148148148148145,0.5740740740740741,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.8333333333333334,0.8888888888888888,0.9074074074074074,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7878861855897605,0.4,0.39583333333333337,0.39622641509433965,0.4814814814814814,0.5740740740740741,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.8333333333333334,0.8888888888888888,0.9074074074074074,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1,0.7797270955165692,
bookkeeper_RandomForesttrueSMOTEfalse1.csv,0,0.36363636363636365,0.056338028169014086,0.0975609756097561,0.3988938673204585,0.783861502347418,0.1064960292521282,0.06174321303785899,0.17142857142857143,0.2,0.24285714285714285,0.32857142857142857,0.38571428571428573,0.45714285714285713,0.5142857142857142,0.5571428571428572,0.5714285714285714,0.6,0.6,0.6,0.6,0.6,0.6285714285714286,0.7285714285714285,0.8428571428571429,0.9571428571428572,1.0,0.16660388660716832,0.17142857142857143,0.2,0.24285714285714285,0.32857142857142857,0.38571428571428573,0.45714285714285713,0.5142857142857142,0.5571428571428572,0.5714285714285714,0.6,0.6,0.6,0.6,0.6,0.6285714285714286,0.7285714285714285,0.8428571428571429,0.9571428571428572,1.0,0.3075569343957027,0.29268292682926833,0.28000000000000014,0.29824561403508776,0.3650793650793651,0.4029850746268657,0.4571428571428571,0.5070422535211268,0.5492957746478874,0.5633802816901408,0.5915492957746479,0.5915492957746479,0.5857142857142857,0.3255813953488371,0.033333333333333215,0,0,0,0.0,0.0,0.5571428571428572,
bookkeeper_IBkfalseSMOTEfalse5.csv,0,0.3333333333333333,0.3225806451612903,0.32786885245901637,0.27765228381425566,0.8855042874642709,0.48154093097913325,0.27609377729217344,0.2903225806451613,0.3548387096774194,0.4838709677419355,0.6451612903225806,0.7096774193548387,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.8064516129032258,0.8709677419354839,0.9032258064516129,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.772487359838803,0.2903225806451613,0.3548387096774194,0.4838709677419355,0.6451612903225806,0.7096774193548387,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.8064516129032258,0.8709677419354839,0.9032258064516129,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.806390977443609,0.3214285714285715,0.3548387096774194,0.4838709677419355,0.6451612903225806,0.7096774193548387,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.8064516129032258,0.8709677419354839,0.9032258064516129,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1,0.8047538200339559,
bookkeeper_NaiveBayesfalseOverfalse3.csv,1,0.09536784741144415,1.0,0.17412935323383086,0.190625187243612,0.8869674185463657,0.05681818181818193,0.05280656730031054,0.05714285714285714,0.11428571428571428,0.22857142857142856,0.3142857142857143,0.45714285714285713,0.5428571428571428,0.6285714285714286,0.6857142857142857,0.8,0.8857142857142857,0.9428571428571428,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8228070175438597,0.05714285714285714,0.11428571428571428,0.22857142857142856,0.3142857142857143,0.45714285714285713,0.5428571428571428,0.6285714285714286,0.6857142857142857,0.8,0.8857142857142857,0.9428571428571428,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7177944862155389,0.06666666666666665,0.11428571428571432,0.22857142857142854,0.3142857142857143,0.4571428571428571,0.5428571428571428,0.6285714285714286,0.6857142857142857,0.8,0.8857142857142857,0.9428571428571428,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1,0.7172932330827068,
bookkeeper_IBkfalseUnderfalse1.csv,13,0.2641509433962264,0.19718309859154928,0.22580645161290322,0.23687766459106624,0.8695422535211268,0.31921048153819975,0.03871728522500267,0.12857142857142856,0.17142857142857143,0.2,0.2,0.2571428571428571,0.34285714285714286,0.45714285714285713,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5857142857142857,0.7142857142857143,0.7714285714285715,0.8571428571428571,0.9142857142857143,0.9571428571428572,1.0,0.27779205842925575,0.12857142857142856,0.17142857142857143,0.2,0.2,0.2571428571428571,0.34285714285714286,0.45714285714285713,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5857142857142857,0.7142857142857143,0.7714285714285715,0.8571428571428571,0.9142857142857143,0.9571428571428572,1.0,0.2973591072263589,0.2195121951219512,0.23999999999999988,0.24561403508771928,0.22222222222222232,0.26865671641791045,0.34285714285714286,0.45070422535211263,0.5070422535211268,0.5070422535211268,0.5070422535211268,0.5070422535211268,0.5,0.30232558139534893,0.30000000000000004,0.19047619047619058,0.21428571428571408,0.12499999999999967,0.0,0.0,0.5330827067669173,
bookkeeper_RandomForesttrueSMOTEfalse5.csv,2,0.3,0.2903225806451613,0.29508196721311475,0.1950444378150684,0.8120865659452845,0.44438576803749424,0.24077367244939088,0.2903225806451613,0.3225806451612903,0.45161290322580644,0.5161290322580645,0.6129032258064516,0.6451612903225806,0.6774193548387096,0.6774193548387096,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.9032258064516129,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.7707373271889401,0.2903225806451613,0.3225806451612903,0.45161290322580644,0.5161290322580645,0.6129032258064516,0.6451612903225806,0.6774193548387096,0.6774193548387096,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.9032258064516129,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.7707373271889401,0.3214285714285715,0.32258064516129026,0.4516129032258065,0.5161290322580645,0.6129032258064516,0.6451612903225806,0.6774193548387096,0.6774193548387096,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.9032258064516129,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1,0.769100169779287,
bookkeeper_RandomForestfalseOverfalse5.csv,2,0.2,0.3225806451612903,0.24691358024691357,0.16043428817048547,0.8047366271947733,0.4747576061517887,0.178612139017115,0.16129032258064516,0.25806451612903225,0.3870967741935484,0.41935483870967744,0.5806451612903226,0.6774193548387096,0.7419354838709677,0.7419354838709677,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.7771646859083191,0.16129032258064516,0.25806451612903225,0.3870967741935484,0.41935483870967744,0.5806451612903226,0.6774193548387096,0.7419354838709677,0.7419354838709677,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.7683119088042688,0.1785714285714285,0.25806451612903225,0.3870967741935484,0.4193548387096775,0.5806451612903226,0.6774193548387096,0.7419354838709677,0.7419354838709677,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1,0.767402376910017,
