@relation bookkeeper_training_0

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {True, False}

@data
66,80,66,40.0,93,67,66,33.5,2,2,0,False
54,64,54,21.333334,65,63,54,21.0,3,3,0,False
47,51,47,25.5,55,47,47,23.5,2,2,0,False
183,201,183,50.25,221,185,183,46.25,3,4,0,False
49,49,49,49.0,49,49,49,49.0,1,1,0,False
50,50,50,50.0,50,50,50,50.0,1,1,0,False
98,101,98,50.5,103,99,98,49.5,2,2,0,False
138,138,138,138.0,138,138,138,138.0,1,1,0,False
43,43,43,43.0,43,43,43,43.0,1,1,0,False
42,42,42,42.0,42,42,42,42.0,1,1,0,False
56,56,56,56.0,56,56,56,56.0,1,1,0,False
162,163,162,81.5,164,162,162,81.0,2,2,0,False
6367,12494,6367,6247.0,18349,6639,6367,3319.5,2,2,0,False
153,155,153,77.5,157,153,153,76.5,2,2,0,False
43,43,43,43.0,43,43,43,43.0,1,1,0,False
41,42,41,21.0,43,41,41,20.5,2,2,0,False
105,156,105,52.0,206,106,105,35.333332,2,3,0,False
105,150,105,30.0,193,107,105,21.4,3,5,0,False
92,127,92,31.75,161,93,92,23.25,3,4,0,False
101,152,101,50.666668,202,102,101,34.0,2,3,0,False
45,45,45,45.0,45,45,45,45.0,1,1,0,False
289,290,289,145.0,291,289,289,144.5,2,2,0,False
32,36,32,18.0,39,33,32,16.5,2,2,0,False
111,111,111,111.0,111,111,111,111.0,1,1,0,False
35,36,35,18.0,37,35,35,17.5,2,2,0,False
81,81,81,81.0,81,81,81,81.0,1,1,0,False
27,27,27,27.0,27,27,27,27.0,1,1,0,False
28,28,28,28.0,28,28,28,28.0,1,1,0,False
29,30,29,15.0,31,29,29,14.5,2,2,0,False
566,605,566,151.25,639,571,566,142.75,3,4,0,False
64,80,64,40.0,96,64,64,32.0,2,2,0,False
29,30,29,15.0,31,29,29,14.5,2,2,0,False
64,65,64,32.5,66,64,64,32.0,2,2,0,False
37,40,37,20.0,43,37,37,18.5,2,2,0,False
68,79,68,39.5,90,68,68,34.0,2,2,0,False
154,166,154,55.333332,177,155,154,51.666668,2,3,0,False
72,73,72,36.5,74,72,72,36.0,2,2,0,False
385,421,385,70.166664,436,406,385,67.666664,3,6,0,False
76,78,76,39.0,80,76,76,38.0,2,2,0,False
